"Total Exports ($billions) (Monthly)",""
"","HSZZ  All merchandise goods"
"1951M01",0.04
"1951M02",0.06
"1951M03",0.02
"1951M04",0.03
"1951M05",0.05
"1951M06",0.05
"1951M07",0.05
"1951M08",0.04
"1951M09",0.03
"1951M10",0.04
"1951M11",0.03
"1951M12",0.04
"1952M01",0.04
"1952M02",0.05
"1952M03",0.05
"1952M04",0.04
"1952M05",0.06
"1952M06",0.04
"1952M07",0.04
"1952M08",0.03
"1952M09",0.03
"1952M10",0.04
"1952M11",0.03
"1952M12",0.03
"1953M01",0.03
"1953M02",0.05
"1953M03",0.04
"1953M04",0.05
"1953M05",0.05
"1953M06",0.05
"1953M07",0.03
"1953M08",0.02
"1953M09",0.03
"1953M10",0.03
"1953M11",0.03
"1953M12",0.05
"1954M01",0.04
"1954M02",0.05
"1954M03",0.05
"1954M04",0.05
"1954M05",0.06
"1954M06",0.04
"1954M07",0.03
"1954M08",0.02
"1954M09",0.04
"1954M10",0.03
"1954M11",0.02
"1954M12",0.05
"1955M01",0.03
"1955M02",0.04
"1955M03",0.06
"1955M04",0.04
"1955M05",0.05
"1955M06",0.07
"1955M07",0.05
"1955M08",0.03
"1955M09",0.04
"1955M10",0.03
"1955M11",0.04
"1955M12",0.05
"1956M01",0.04
"1956M02",0.06
"1956M03",0.06
"1956M04",0.05
"1956M05",0.05
"1956M06",0.04
"1956M07",0.04
"1956M08",0.05
"1956M09",0.04
"1956M10",0.03
"1956M11",0.04
"1956M12",0.05
"1957M01",0.05
"1957M02",0.06
"1957M03",0.05
"1957M04",0.04
"1957M05",0.05
"1957M06",0.05
"1957M07",0.06
"1957M08",0.04
"1957M09",0.03
"1957M10",0.03
"1957M11",0.04
"1957M12",0.04
"1958M01",0.05
"1958M02",0.06
"1958M03",0.05
"1958M04",0.05
"1958M05",0.04
"1958M06",0.04
"1958M07",0.04
"1958M08",0.03
"1958M09",0.03
"1958M10",0.03
"1958M11",0.03
"1958M12",0.04
"1959M01",0.04
"1959M02",0.05
"1959M03",0.07
"1959M04",0.06
"1959M05",0.04
"1959M06",0.06
"1959M07",0.05
"1959M08",0.04
"1959M09",0.03
"1959M10",0.02
"1959M11",0.05
"1959M12",0.07
"1960M01",0.06
"1960M02",0.08
"1960M03",0.07
